tournament,tier,archive_index,species,form,held_item,move_1,move_2,move_3,move_4,nature,ev_distribution,ev_hp,ev_attack,ev_defense,ev_speed,ev_sp_attack,ev_sp_defense,player_ivs,opponent_ivs,ability_rule,gender_rule,friendship,availability,trainer_ids,trainer_id_classes,ability_slots,sex_vector,ev_mask,record_form_no,national_dex
Battle Tree,Trainer IDs 90-189 (31 IV),98,Mesprit,Default,Bright Powder,Future Sight,Healing Wish,Copycat,Thunder Wave,Calm,255 HP / 255 Sp. Def,255,0,0,0,0,255,31 in every stat (Battle Agency/rental constructor),31 in every stat (trainer-ID dependent),Random ability index 0/1/2 (personal slots 26/26/26),Genderless,255,Battle Tree NPC / Battle Agency,"115,131,138,168,169,186",Trainer IDs 90-189 (31 IV),26/26/26,255,0x21,0,481
Battle Tree,Trainer IDs 50-69 (23 IV) / Trainer IDs 70-89 (27 IV),99,Rotom,Heat,Bright Powder,Will-O-Wisp,Hex,Confuse Ray,Charge Beam,Calm,255 HP / 255 Sp. Def,255,0,0,0,0,255,31 in every stat (Battle Agency/rental constructor),"23,27 in every stat (trainer-ID dependent)",Random ability index 0/1/2 (personal slots 26/26/26),Genderless,255,Battle Tree NPC / Battle Agency,"53,54,56,63,64,78,81,85,86",Trainer IDs 50-69 (23 IV); Trainer IDs 70-89 (27 IV),26/26/26,255,0x21,1,479
Battle Tree,Trainer IDs 50-69 (23 IV) / Trainer IDs 70-89 (27 IV),100,Rotom,Wash,Choice Scarf,Trick,Thunder Wave,Discharge,Hydro Pump,Timid,255 HP / 255 Speed,255,0,0,255,0,0,31 in every stat (Battle Agency/rental constructor),"23,27 in every stat (trainer-ID dependent)",Random ability index 0/1/2 (personal slots 26/26/26),Genderless,255,Battle Tree NPC / Battle Agency,"50,51,59,66,67,76,77,88,89",Trainer IDs 50-69 (23 IV); Trainer IDs 70-89 (27 IV),26/26/26,255,0x09,2,479
Battle Tree,Trainer IDs 50-69 (23 IV) / Trainer IDs 70-89 (27 IV),101,Rotom,Mow,Sitrus Berry,Will-O-Wisp,Hex,Charge,Charge Beam,Sassy,255 HP / 255 Sp. Def,255,0,0,0,0,255,31 in every stat (Battle Agency/rental constructor),"23,27 in every stat (trainer-ID dependent)",Random ability index 0/1/2 (personal slots 26/26/26),Genderless,255,Battle Tree NPC / Battle Agency,"52,55,57,58,65,70,71,73,74",Trainer IDs 50-69 (23 IV); Trainer IDs 70-89 (27 IV),26/26/26,255,0x21,5,479
Battle Tree,Trainer IDs 50-69 (23 IV) / Trainer IDs 70-89 (27 IV),102,Rotom,Fan,Light Clay,Blizzard,Discharge,Reflect,Light Screen,Relaxed,170 HP / 170 Defense / 170 Sp. Def,170,0,170,0,0,170,31 in every stat (Battle Agency/rental constructor),"23,27 in every stat (trainer-ID dependent)",Random ability index 0/1/2 (personal slots 26/26/26),Genderless,255,Battle Tree NPC / Battle Agency,"60,61,79,80,87",Trainer IDs 50-69 (23 IV); Trainer IDs 70-89 (27 IV),26/26/26,255,0x25,3,479
Battle Tree,Trainer IDs 50-69 (23 IV) / Trainer IDs 70-89 (27 IV),103,Rotom,Frost,Sitrus Berry,Will-O-Wisp,Hex,Volt Switch,Confuse Ray,Timid,255 Speed / 255 Sp. Atk,0,0,0,255,255,0,31 in every stat (Battle Agency/rental constructor),"23,27 in every stat (trainer-ID dependent)",Random ability index 0/1/2 (personal slots 26/26/26),Genderless,255,Battle Tree NPC / Battle Agency,"68,69,82,83",Trainer IDs 50-69 (23 IV); Trainer IDs 70-89 (27 IV),26/26/26,255,0x18,4,479
Battle Tree,Trainer IDs 70-89 (27 IV) / Trainer IDs 90-189 (31 IV),104,Barbaracle,Default,Expert Belt,Dragon Claw,Earthquake,X-Scissor,Night Slash,Adamant,255 Attack / 255 Defense,0,255,255,0,0,0,31 in every stat (Battle Agency/rental constructor),"27,31 in every stat (trainer-ID dependent)",Random ability index 0/1/2 (personal slots 181/97/124),PID-derived species ratio (sex_vector=127),255,Battle Tree NPC / Battle Agency,"82,83,148,149,164,165,170,171,180,181,184,185",Trainer IDs 70-89 (27 IV); Trainer IDs 90-189 (31 IV),181/97/124,127,0x06,0,689
Battle Tree,Trainer IDs 70-89 (27 IV) / Trainer IDs 90-189 (31 IV),105,Hawlucha,Default,Liechi Berry,Swords Dance,Flying Press,Acrobatics,Steel Wing,Adamant,255 Attack / 255 Speed,0,255,0,255,0,0,31 in every stat (Battle Agency/rental constructor),"27,31 in every stat (trainer-ID dependent)",Random ability index 0/1/2 (personal slots 7/84/104),PID-derived species ratio (sex_vector=127),255,Battle Tree NPC / Battle Agency,"82,83,152,153,170,171",Trainer IDs 70-89 (27 IV); Trainer IDs 90-189 (31 IV),7/84/104,127,0x0a,0,701
Battle Tree,Trainer IDs 70-89 (27 IV) / Trainer IDs 90-189 (31 IV),106,Carbink,Default,Iron Ball,Trick Room,Gyro Ball,Dazzling Gleam,Power Gem,Quiet,255 Sp. Atk / 255 Sp. Def,0,0,0,0,255,255,31 in every stat (Battle Agency/rental constructor),"27,31 in every stat (trainer-ID dependent)",Random ability index 0/1/2 (personal slots 29/29/5),Genderless,255,Battle Tree NPC / Battle Agency,"70,71,93,94,95,110,111,117,140,141,144,145,162,163",Trainer IDs 70-89 (27 IV); Trainer IDs 90-189 (31 IV),29/29/5,255,0x30,0,703
Battle Tree,Trainer IDs 70-89 (27 IV) / Trainer IDs 90-189 (31 IV),107,Pyroar,Default,Lum Berry,Return,Fire Fang,Wild Charge,Crunch,Adamant,255 Attack / 255 Speed,0,255,0,255,0,0,31 in every stat (Battle Agency/rental constructor),"27,31 in every stat (trainer-ID dependent)",Random ability index 0/1/2 (personal slots 79/127/153),PID-derived species ratio (sex_vector=225),255,Battle Tree NPC / Battle Agency,"76,79,85,180,181,182,183",Trainer IDs 70-89 (27 IV); Trainer IDs 90-189 (31 IV),79/127/153,225,0x0a,0,668
Battle Tree,Trainer IDs 70-89 (27 IV) / Trainer IDs 90-189 (31 IV),108,Avalugg,Default,Icy Rock,Hail,Blizzard,Recover,Flash Cannon,Bold,255 Defense / 255 Sp. Def,0,0,255,0,0,255,31 in every stat (Battle Agency/rental constructor),"27,31 in every stat (trainer-ID dependent)",Random ability index 0/1/2 (personal slots 20/115/5),PID-derived species ratio (sex_vector=127),255,Battle Tree NPC / Battle Agency,"85,86,110,111,176,177",Trainer IDs 70-89 (27 IV); Trainer IDs 90-189 (31 IV),20/115/5,127,0x24,0,713
Battle Tree,Trainer IDs 70-89 (27 IV) / Trainer IDs 90-189 (31 IV),109,Tyrantrum,Default,Wide Lens,Horn Drill,Stone Edge,Rest,Sleep Talk,Impish,255 HP / 255 Defense,255,0,255,0,0,0,31 in every stat (Battle Agency/rental constructor),"27,31 in every stat (trainer-ID dependent)",Random ability index 0/1/2 (personal slots 173/173/69),PID-derived species ratio (sex_vector=31),255,Battle Tree NPC / Battle Agency,"70,71,118,184,185",Trainer IDs 70-89 (27 IV); Trainer IDs 90-189 (31 IV),173/173/69,31,0x05,0,697
Battle Tree,Trainer IDs 70-89 (27 IV) / Trainer IDs 90-189 (31 IV),110,Aurorus,Default,Expert Belt,Giga Impact,Earthquake,Stone Edge,Frost Breath,Adamant,255 Attack / 255 Sp. Def,0,255,0,0,0,255,31 in every stat (Battle Agency/rental constructor),"27,31 in every stat (trainer-ID dependent)",Random ability index 0/1/2 (personal slots 174/174/117),PID-derived species ratio (sex_vector=31),255,Battle Tree NPC / Battle Agency,"70,71,164,165,184,185",Trainer IDs 70-89 (27 IV); Trainer IDs 90-189 (31 IV),174/174/117,31,0x22,0,699
Battle Tree,Battle Legend/featured IDs 190-205 (31 IV) / Trainer IDs 70-89 (27 IV) / Trainer IDs 90-189 (31 IV),111,Talonflame,Default,Focus Sash,Swords Dance,Quick Attack,Flail,Acrobatics,Jolly,255 Defense / 255 Speed,0,0,255,255,0,0,31 in every stat (Battle Agency/rental constructor),"27,31 in every stat (trainer-ID dependent)",Random ability index 0/1/2 (personal slots 49/49/177),PID-derived species ratio (sex_vector=127),255,Battle Tree NPC / Battle Agency,"85,86,104,105,150,151,182,183,199,200",Battle Legend/featured IDs 190-205 (31 IV); Trainer IDs 70-89 (27 IV); Trainer IDs 90-189 (31 IV),49/49/177,127,0x0c,0,663
Battle Tree,Trainer IDs 70-89 (27 IV) / Trainer IDs 90-189 (31 IV),112,Sylveon,Default,Razor Claw,Moonblast,Shadow Ball,Round,Psyshock,Modest,255 Sp. Atk / 255 Sp. Def,0,0,0,0,255,255,31 in every stat (Battle Agency/rental constructor),"27,31 in every stat (trainer-ID dependent)",Random ability index 0/1/2 (personal slots 56/56/182),PID-derived species ratio (sex_vector=31),255,Battle Tree NPC / Battle Agency,"72,75,120,127,144,145,187,188",Trainer IDs 70-89 (27 IV); Trainer IDs 90-189 (31 IV),56/56/182,31,0x30,0,700
Battle Tree,Trainer IDs 70-89 (27 IV) / Trainer IDs 90-189 (31 IV),113,Chesnaught,Default,Life Orb,Focus Blast,Energy Ball,Sludge Bomb,Round,Modest,255 Defense / 255 Sp. Atk,0,0,255,0,255,0,31 in every stat (Battle Agency/rental constructor),"27,31 in every stat (trainer-ID dependent)",Random ability index 0/1/2 (personal slots 65/65/171),PID-derived species ratio (sex_vector=31),255,Battle Tree NPC / Battle Agency,"70,71,112,113,118,121,134,136",Trainer IDs 70-89 (27 IV); Trainer IDs 90-189 (31 IV),65/65/171,31,0x14,0,652
Battle Tree,Trainer IDs 70-89 (27 IV) / Trainer IDs 90-189 (31 IV),114,Delphox,Default,Heat Rock,Sunny Day,Solar Beam,Fire Blast,Psychic,Timid,255 Speed / 255 Sp. Atk,0,0,0,255,255,0,31 in every stat (Battle Agency/rental constructor),"27,31 in every stat (trainer-ID dependent)",Random ability index 0/1/2 (personal slots 66/66/170),PID-derived species ratio (sex_vector=31),255,Battle Tree NPC / Battle Agency,"78,79,80,81,85,86,108,109,112,113,116,134,136,155,157",Trainer IDs 70-89 (27 IV); Trainer IDs 90-189 (31 IV),66/66/170,31,0x18,0,655
Battle Tree,Trainer IDs 70-89 (27 IV) / Trainer IDs 90-189 (31 IV),115,Greninja,Default,King's Rock,Water Shuriken,Rock Slide,Grass Knot,U-turn,Jolly,255 Attack / 255 Speed,0,255,0,255,0,0,31 in every stat (Battle Agency/rental constructor),"27,31 in every stat (trainer-ID dependent)",Random ability index 0/1/2 (personal slots 67/67/168),PID-derived species ratio (sex_vector=31),255,Battle Tree NPC / Battle Agency,"73,74,84,87,104,105,112,113,117,119,134,136,150,151,152,153",Trainer IDs 70-89 (27 IV); Trainer IDs 90-189 (31 IV),67/67/168,31,0x0a,0,658
Battle Tree,Trainer IDs 70-89 (27 IV) / Trainer IDs 90-189 (31 IV),116,Gogoat,Default,Big Root,Horn Leech,Leech Seed,Protect,Payback,Sassy,255 HP / 255 Attack,255,255,0,0,0,0,31 in every stat (Battle Agency/rental constructor),"27,31 in every stat (trainer-ID dependent)",Random ability index 0/1/2 (personal slots 157/157/179),PID-derived species ratio (sex_vector=127),255,Battle Tree NPC / Battle Agency,"73,74,112,113,118,170,171",Trainer IDs 70-89 (27 IV); Trainer IDs 90-189 (31 IV),157/157/179,127,0x03,0,673
Battle Tree,Trainer IDs 70-89 (27 IV) / Trainer IDs 90-189 (31 IV),117,Noivern,Default,Razor Fang,Air Slash,Dragon Pulse,Flamethrower,Psychic,Modest,255 Speed / 255 Sp. Atk,0,0,0,255,255,0,31 in every stat (Battle Agency/rental constructor),"27,31 in every stat (trainer-ID dependent)",Random ability index 0/1/2 (personal slots 119/151/140),PID-derived species ratio (sex_vector=127),255,Battle Tree NPC / Battle Agency,"70,71,104,105,112,113,118,119,148,149,150,151",Trainer IDs 70-89 (27 IV); Trainer IDs 90-189 (31 IV),119/151/140,127,0x18,0,715
Battle Tree,Trainer IDs 70-89 (27 IV) / Trainer IDs 90-189 (31 IV),118,Florges,Default,Kebia Berry,Calm Mind,Grass Knot,Psychic,Moonblast,Modest,255 Sp. Atk / 255 Sp. Def,0,0,0,0,255,255,31 in every stat (Battle Agency/rental constructor),"27,31 in every stat (trainer-ID dependent)",Random ability index 0/1/2 (personal slots 166/166/180),Female-only,255,Battle Tree NPC / Battle Agency,"70,71,112,113,120,127,144,145,187",Trainer IDs 70-89 (27 IV); Trainer IDs 90-189 (31 IV),166/166/180,254,0x30,0,671
Battle Tree,Trainer IDs 70-89 (27 IV) / Trainer IDs 90-189 (31 IV),119,Goodra,Default,Damp Rock,Dragon Pulse,Rain Dance,Thunder,Muddy Water,Modest,255 Sp. Atk / 255 Sp. Def,0,0,0,0,255,255,31 in every stat (Battle Agency/rental constructor),"27,31 in every stat (trainer-ID dependent)",Random ability index 0/1/2 (personal slots 157/93/183),PID-derived species ratio (sex_vector=127),255,Battle Tree NPC / Battle Agency,"70,71,88,89,100,101,114,115,118,135,137,144,145,154,156,162,163,180,181",Trainer IDs 70-89 (27 IV); Trainer IDs 90-189 (31 IV),157/93/183,127,0x30,0,706
Battle Tree,Battle Legend/featured IDs 190-205 (31 IV) / Trainer IDs 70-89 (27 IV) / Trainer IDs 90-189 (31 IV),120,Trevenant,Default,Choice Band,Horn Leech,Shadow Claw,Earthquake,X-Scissor,Adamant,255 HP / 255 Attack,255,255,0,0,0,0,31 in every stat (Battle Agency/rental constructor),"27,31 in every stat (trainer-ID dependent)",Random ability index 0/1/2 (personal slots 30/119/139),PID-derived species ratio (sex_vector=127),255,Battle Tree NPC / Battle Agency,"70,71,162,163,200",Battle Legend/featured IDs 190-205 (31 IV); Trainer IDs 70-89 (27 IV); Trainer IDs 90-189 (31 IV),30/119/139,127,0x03,0,709
Battle Tree,Trainer IDs 70-89 (27 IV) / Trainer IDs 90-189 (31 IV),121,Gourgeist,Default,Wise Glasses,Shadow Ball,Sludge Bomb,Energy Ball,Flamethrower,Modest,255 Defense / 255 Sp. Atk,0,0,255,0,255,0,31 in every stat (Battle Agency/rental constructor),"27,31 in every stat (trainer-ID dependent)",Random ability index 0/1/2 (personal slots 53/119/15),PID-derived species ratio (sex_vector=127),255,Battle Tree NPC / Battle Agency,"85,86,182,183",Trainer IDs 70-89 (27 IV); Trainer IDs 90-189 (31 IV),53/119/15,127,0x14,0,711
Battle Tree,Trainer IDs 70-89 (27 IV) / Trainer IDs 90-189 (31 IV),122,Clawitzer,Default,Focus Sash,Crabhammer,Return,U-turn,Flail,Jolly,255 Attack / 255 Speed,0,255,0,255,0,0,31 in every stat (Battle Agency/rental constructor),"27,31 in every stat (trainer-ID dependent)",Random ability index 0/1/2 (personal slots 178/178/178),PID-derived species ratio (sex_vector=127),255,Battle Tree NPC / Battle Agency,"70,71,84,87,162,163,180,181,182,183",Trainer IDs 70-89 (27 IV); Trainer IDs 90-189 (31 IV),178/178/178,127,0x0a,0,693
Battle Tree,Trainer IDs 70-89 (27 IV) / Trainer IDs 90-189 (31 IV),123,Beedrill,Default,Beedrillite,Poison Jab,U-turn,Brick Break,X-Scissor,Jolly,255 Attack / 255 Speed,0,255,0,255,0,0,31 in every stat (Battle Agency/rental constructor),"27,31 in every stat (trainer-ID dependent)",Random ability index 0/1/2 (personal slots 68/68/97),PID-derived species ratio (sex_vector=127),255,Battle Tree NPC / Battle Agency,"70,71,84,87,148,149,162,163",Trainer IDs 70-89 (27 IV); Trainer IDs 90-189 (31 IV),68/68/97,127,0x0a,0,15
Battle Tree,Trainer IDs 70-89 (27 IV) / Trainer IDs 90-189 (31 IV),124,Aromatisse,Default,Expert Belt,Flash Cannon,Thunder,Psyshock,Moonblast,Modest,255 Sp. Atk / 255 Sp. Def,0,0,0,0,255,255,31 in every stat (Battle Agency/rental constructor),"27,31 in every stat (trainer-ID dependent)",Random ability index 0/1/2 (personal slots 131/131/165),PID-derived species ratio (sex_vector=127),255,Battle Tree NPC / Battle Agency,"85,86,127,144,145,176,177,182,183,187",Trainer IDs 70-89 (27 IV); Trainer IDs 90-189 (31 IV),131/131/165,127,0x30,0,683
Battle Tree,Trainer IDs 50-69 (23 IV) / Trainer IDs 70-89 (27 IV),125,Electivire,Default,Electric Seed,Electric Terrain,Hammer Arm,Thunder Punch,Bulldoze,Impish,255 HP / 255 Defense,255,0,255,0,0,0,31 in every stat (Battle Agency/rental constructor),"23,27 in every stat (trainer-ID dependent)",Random ability index 0/1/2 (personal slots 78/78/72),PID-derived species ratio (sex_vector=63),255,Battle Tree NPC / Battle Agency,"53,54,59,68,69,70,71,76,79,82",Trainer IDs 50-69 (23 IV); Trainer IDs 70-89 (27 IV),78/78/72,63,0x05,0,466
Battle Tree,Trainer IDs 50-69 (23 IV) / Trainer IDs 70-89 (27 IV),126,Magmortar,Default,Sitrus Berry,Belly Drum,Mach Punch,Belch,Flare Blitz,Naughty,255 HP / 255 Defense,255,0,255,0,0,0,31 in every stat (Battle Agency/rental constructor),"23,27 in every stat (trainer-ID dependent)",Random ability index 0/1/2 (personal slots 49/49/72),PID-derived species ratio (sex_vector=63),255,Battle Tree NPC / Battle Agency,"63,64,65,68,69,73,78,81,85,86",Trainer IDs 50-69 (23 IV); Trainer IDs 70-89 (27 IV),49/49/72,63,0x05,0,467
Battle Tree,Trainer IDs 50-69 (23 IV) / Trainer IDs 70-89 (27 IV),127,Probopass,Default,Leftovers,Thunder Wave,Bulldoze,Rock Slide,Stealth Rock,Relaxed,255 HP / 255 Defense,255,0,255,0,0,0,31 in every stat (Battle Agency/rental constructor),"23,27 in every stat (trainer-ID dependent)",Random ability index 0/1/2 (personal slots 5/42/159),PID-derived species ratio (sex_vector=127),255,Battle Tree NPC / Battle Agency,"51,53,57,58,59,73,74,76,79,83",Trainer IDs 50-69 (23 IV); Trainer IDs 70-89 (27 IV),5/42/159,127,0x05,0,476
Battle Tree,Trainer IDs 50-69 (23 IV) / Trainer IDs 70-89 (27 IV),128,Lickilicky,Default,Normalium Z,Defense Curl,Rollout,Me First,Power Whip,Careful,255 HP / 255 Sp. Def,255,0,0,0,0,255,31 in every stat (Battle Agency/rental constructor),"23,27 in every stat (trainer-ID dependent)",Random ability index 0/1/2 (personal slots 20/12/13),PID-derived species ratio (sex_vector=127),255,Battle Tree NPC / Battle Agency,"50,51,53,54,68,69,70,74,76,77,79,80",Trainer IDs 50-69 (23 IV); Trainer IDs 70-89 (27 IV),20/12/13,127,0x21,0,463
Battle Tree,Trainer IDs 70-89 (27 IV) / Trainer IDs 90-189 (31 IV),129,Minior,Meteor,Red Card,Earthquake,Acrobatics,Stone Edge,Autotomize,Jolly,255 Attack / 255 Speed,0,255,0,255,0,0,31 in every stat (Battle Agency/rental constructor),"27,31 in every stat (trainer-ID dependent)",Random ability index 0/1/2 (personal slots 197/197/197),Genderless,255,Battle Tree NPC / Battle Agency,"70,71,162,163",Trainer IDs 70-89 (27 IV); Trainer IDs 90-189 (31 IV),197/197/197,255,0x0a,8,774
Battle Tree,Trainer IDs 70-89 (27 IV),130,Oricorio,Pom-Pom,Flyinium Z,Revelation Dance,Air Slash,Roost,Tailwind,Modest,255 HP / 255 Sp. Atk,255,0,0,0,255,0,31 in every stat (Battle Agency/rental constructor),27 in every stat (trainer-ID dependent),Random ability index 0/1/2 (personal slots 216/216/216),PID-derived species ratio (sex_vector=191),255,Battle Tree NPC / Battle Agency,"76,77,79,80",Trainer IDs 70-89 (27 IV),216/216/216,191,0x11,1,741
Battle Tree,Battle Legend/featured IDs 190-205 (31 IV) / Trainer IDs 70-89 (27 IV) / Trainer IDs 90-189 (31 IV),131,Lycanroc,Midday,Life Orb,Quick Attack,Thunder Fang,Accelerock,Rock Slide,Jolly,255 Attack / 255 Speed,0,255,0,255,0,0,31 in every stat (Battle Agency/rental constructor),"27,31 in every stat (trainer-ID dependent)",Random ability index 0/1/2 (personal slots 51/146/80),PID-derived species ratio (sex_vector=127),255,Battle Tree NPC / Battle Agency,"77,80,91,92,152,153,180,181,205",Battle Legend/featured IDs 190-205 (31 IV); Trainer IDs 70-89 (27 IV); Trainer IDs 90-189 (31 IV),51/146/80,127,0x0a,0,745
Battle Tree,Battle Legend/featured IDs 190-205 (31 IV) / Lillie scouted-partner ID 206 (31 IV) / Trainer IDs 70-89 (27 IV) / Trainer IDs 90-189 (31 IV),132,Comfey,Default,Grassium Z,Dazzling Gleam,Petal Blizzard,Grassy Terrain,Floral Healing,Timid,255 Speed / 255 Sp. Atk,0,0,0,255,255,0,31 in every stat (Battle Agency/rental constructor),"27,31 in every stat (trainer-ID dependent)",Random ability index 0/1/2 (personal slots 166/205/30),PID-derived species ratio (sex_vector=191),255,Battle Tree NPC / Battle Agency,"73,74,123,144,145,172,200,206",Battle Legend/featured IDs 190-205 (31 IV); Lillie scouted-partner ID 206 (31 IV); Trainer IDs 70-89 (27 IV); Trainer IDs 90-189 (31 IV),166/205/30,191,0x18,0,764
Battle Tree,Battle Legend/featured IDs 190-205 (31 IV) / Trainer IDs 70-89 (27 IV) / Trainer IDs 90-189 (31 IV),133,Toxapex,Default,Red Card,Baneful Bunker,Venoshock,Surf,Ice Beam,Modest,255 HP / 255 Sp. Atk,255,0,0,0,255,0,31 in every stat (Battle Agency/rental constructor),"27,31 in every stat (trainer-ID dependent)",Random ability index 0/1/2 (personal slots 196/7/144),PID-derived species ratio (sex_vector=127),255,Battle Tree NPC / Battle Agency,"73,74,148,149,162,163,178,179,180,181,197,198",Battle Legend/featured IDs 190-205 (31 IV); Trainer IDs 70-89 (27 IV); Trainer IDs 90-189 (31 IV),196/7/144,127,0x11,0,748
Battle Tree,Battle Legend/featured IDs 190-205 (31 IV) / Trainer IDs 70-89 (27 IV) / Trainer IDs 90-189 (31 IV),134,Golisopod,Default,Quick Claw,First Impression,Liquidation,Leech Life,Brick Break,Adamant,255 HP / 255 Attack,255,255,0,0,0,0,31 in every stat (Battle Agency/rental constructor),"27,31 in every stat (trainer-ID dependent)",Random ability index 0/1/2 (personal slots 194/194/194),PID-derived species ratio (sex_vector=127),255,Battle Tree NPC / Battle Agency,"73,74,114,115,117,170,171,178,179,180,181,198",Battle Legend/featured IDs 190-205 (31 IV); Trainer IDs 70-89 (27 IV); Trainer IDs 90-189 (31 IV),194/194/194,127,0x03,0,768
Battle Tree,Battle Legend/featured IDs 190-205 (31 IV) / Trainer IDs 70-89 (27 IV) / Trainer IDs 90-189 (31 IV),135,Lurantis,Default,Power Herb,Solar Blade,Leech Life,Poison Jab,Payback,Adamant,255 HP / 255 Attack,255,255,0,0,0,0,31 in every stat (Battle Agency/rental constructor),"27,31 in every stat (trainer-ID dependent)",Random ability index 0/1/2 (personal slots 102/102/126),PID-derived species ratio (sex_vector=127),255,Battle Tree NPC / Battle Agency,"76,77,78,79,80,81,144,145,197,200",Battle Legend/featured IDs 190-205 (31 IV); Trainer IDs 70-89 (27 IV); Trainer IDs 90-189 (31 IV),102/102/126,127,0x03,0,754
Battle Tree,Trainer IDs 70-89 (27 IV) / Trainer IDs 90-189 (31 IV),136,Ribombee,Default,Sitrus Berry,Quiver Dance,Baton Pass,Silver Wind,Draining Kiss,Bold,170 HP / 170 Defense / 170 Sp. Def,170,0,170,0,0,170,31 in every stat (Battle Agency/rental constructor),"27,31 in every stat (trainer-ID dependent)",Random ability index 0/1/2 (personal slots 118/19/175),PID-derived species ratio (sex_vector=127),255,Battle Tree NPC / Battle Agency,"85,86,104,105,144,145,150,151,182,183",Trainer IDs 70-89 (27 IV); Trainer IDs 90-189 (31 IV),118/19/175,127,0x25,0,743
Battle Tree,Battle Agency event IDs 207-208 (31 IV) / Trainer IDs 70-89 (27 IV) / Trainer IDs 90-189 (31 IV),137,Vikavolt,Default,Electrium Z,Thunderbolt,Mud Shot,Flash Cannon,Volt Switch,Modest,255 HP / 255 Sp. Atk,255,0,0,0,255,0,31 in every stat (Battle Agency/rental constructor),"27,31 in every stat (trainer-ID dependent)",Random ability index 0/1/2 (personal slots 26/26/26),PID-derived species ratio (sex_vector=127),255,Battle Tree NPC / Battle Agency,"73,74,117,118,142,143,160,161,164,165,207",Battle Agency event IDs 207-208 (31 IV); Trainer IDs 70-89 (27 IV); Trainer IDs 90-189 (31 IV),26/26/26,127,0x11,0,738
Battle Tree,Trainer IDs 70-89 (27 IV) / Trainer IDs 90-189 (31 IV),138,Mudsdale,Default,Passho Berry,Earthquake,Rock Slide,Mud-Slap,Payback,Adamant,255 HP / 255 Attack,255,255,0,0,0,0,31 in every stat (Battle Agency/rental constructor),"27,31 in every stat (trainer-ID dependent)",Random ability index 0/1/2 (personal slots 20/192/39),PID-derived species ratio (sex_vector=127),255,Battle Tree NPC / Battle Agency,"76,77,79,80,164,165,170,171,178,179",Trainer IDs 70-89 (27 IV); Trainer IDs 90-189 (31 IV),20/192/39,127,0x03,0,750
Battle Tree,Battle Legend/featured IDs 190-205 (31 IV) / Trainer IDs 70-89 (27 IV) / Trainer IDs 90-189 (31 IV),139,Decidueye,Default,Life Orb,Spirit Shackle,Leaf Blade,Sucker Punch,Smack Down,Adamant,255 Attack / 255 Speed,0,255,0,255,0,0,31 in every stat (Battle Agency/rental constructor),"27,31 in every stat (trainer-ID dependent)",Random ability index 0/1/2 (personal slots 65/65/203),PID-derived species ratio (sex_vector=31),255,Battle Tree NPC / Battle Agency,"70,71,76,77,114,115,118,121,134,136,205",Battle Legend/featured IDs 190-205 (31 IV); Trainer IDs 70-89 (27 IV); Trainer IDs 90-189 (31 IV),65/65/203,31,0x0a,0,724
Battle Tree,Battle Legend/featured IDs 190-205 (31 IV) / Trainer IDs 70-89 (27 IV) / Trainer IDs 90-189 (31 IV),140,Incineroar,Default,Firium Z,Darkest Lariat,Throat Chop,Earthquake,Flare Blitz,Adamant,255 Attack / 255 Speed,0,255,0,255,0,0,31 in every stat (Battle Agency/rental constructor),"27,31 in every stat (trainer-ID dependent)",Random ability index 0/1/2 (personal slots 66/66/22),PID-derived species ratio (sex_vector=31),255,Battle Tree NPC / Battle Agency,"78,81,84,87,108,109,114,115,116,119,134,136,146,147,205",Battle Legend/featured IDs 190-205 (31 IV); Trainer IDs 70-89 (27 IV); Trainer IDs 90-189 (31 IV),66/66/22,31,0x0a,0,727
Battle Tree,Battle Legend/featured IDs 190-205 (31 IV) / Trainer IDs 70-89 (27 IV) / Trainer IDs 90-189 (31 IV),141,Primarina,Default,Kebia Berry,Hydro Pump,Moonblast,Psychic,Baby-Doll Eyes,Modest,255 HP / 255 Sp. Atk,255,0,0,0,255,0,31 in every stat (Battle Agency/rental constructor),"27,31 in every stat (trainer-ID dependent)",Random ability index 0/1/2 (personal slots 67/67/204),PID-derived species ratio (sex_vector=31),255,Battle Tree NPC / Battle Agency,"79,80,114,115,117,120,127,134,136,205",Battle Legend/featured IDs 190-205 (31 IV); Trainer IDs 70-89 (27 IV); Trainer IDs 90-189 (31 IV),67/67/204,31,0x11,0,730
Battle Tree,Trainer IDs 70-89 (27 IV) / Trainer IDs 90-189 (31 IV),142,Araquanid,Default,Leftovers,Lunge,Liquidation,Crunch,Stockpile,Impish,255 HP / 255 Defense,255,0,255,0,0,0,31 in every stat (Battle Agency/rental constructor),"27,31 in every stat (trainer-ID dependent)",Random ability index 0/1/2 (personal slots 199/199/11),PID-derived species ratio (sex_vector=127),255,Battle Tree NPC / Battle Agency,"82,83,110,111,180,181",Trainer IDs 70-89 (27 IV); Trainer IDs 90-189 (31 IV),199/199/11,127,0x05,0,752
